103079215210,MEMBER,<empty>,<empty>,NONE,46,,<empty>,115,NONE,,,1,,std.uint8_t
103079215211,MEMBER,<empty>,<empty>,UNIMPORTANT,52,,<empty>,115,UNIMPORTANT,,,2,,std.uint8_t
103079215212,MEMBER,<empty>,<empty>,READ,65,,<empty>,115,READ,,,3,,std.uint8_t
103079215213,MEMBER,<empty>,<empty>,WRITE,71,,<empty>,115,WRITE,,,4,,std.uint8_t
103079215214,MEMBER,<empty>,<empty>,POSITIONING,78,,<empty>,115,POSITIONING,,,5,,std.uint8_t
103079215215,MEMBER,<empty>,<empty>,OPEN,91,,<empty>,115,OPEN,,,6,,std.uint8_t
103079215216,MEMBER,<empty>,<empty>,CLOSE,97,,<empty>,115,CLOSE,,,7,,std.uint8_t
103079215217,MEMBER,<empty>,<empty>,UNKNOWN_OP,104,,<empty>,115,UNKNOWN_OP,,,8,,std.uint8_t
103079215218,MEMBER,<empty>,<empty>,lastOperation = Operation::NONE,116,,<empty>,115,lastOperation,,,1,,Operation
103079215219,MEMBER,<empty>,<empty>,UNKNOWN_AM,48,,<empty>,117,UNKNOWN_AM,,,1,,std.uint8_t
103079215220,MEMBER,<empty>,<empty>,APPEND,60,,<empty>,117,APPEND,,,2,,std.uint8_t
103079215221,MEMBER,<empty>,<empty>,APPEND_EX,68,,<empty>,117,APPEND_EX,,,3,,std.uint8_t
103079215222,MEMBER,<empty>,<empty>,mode,18,,<empty>,113,mode,,,1,,OpenMode
103079215223,MEMBER,<empty>,<empty>,mode_indent{},20,,<empty>,114,mode_indent,,,2,,int
103079215224,MEMBER,<empty>,<empty>,op_indent{},20,,<empty>,116,op_indent,,,4,,int
103079215225,MEMBER,<empty>,<empty>,append_mode = AppendMode::UNKNOWN_AM,20,,<empty>,118,append_mode,,,6,,Filepointer.AppendMode
103079215226,MEMBER,<empty>,<empty>,filename,21,,<empty>,119,filename,,,7,,std.string
103079215227,MEMBER,<empty>,<empty>,unsafeUsage,47,,<empty>,613,unsafeUsage,,,1,,std.list<CTU.FileInfo.UnsafeUsage>
103079215228,MEMBER,<empty>,<empty>,* tok,20,,<empty>,818,tok,,,1,,Token*
103079215229,MEMBER,<empty>,<empty>,* info,52,,<empty>,819,info,,,2,,Library.ArgumentChecks.IteratorInfo*
103079215230,MEMBER,<empty>,<empty>,* tok,28,,<empty>,979,tok,,,1,,Token*
103079215231,MEMBER,<empty>,<empty>,errorPath,27,,<empty>,980,errorPath,,,2,,ErrorPath
103079215232,MEMBER,<empty>,<empty>,* ftok,28,,<empty>,981,ftok,,,3,,Token*
103079215233,MEMBER,<empty>,<empty>,expressions,48,,<empty>,983,expressions,,,2,,"std.unordered_map<int,Reference>"
103079215234,MEMBER,<empty>,<empty>,invalidMethods,51,,<empty>,1002,invalidMethods,,,2,,"std.unordered_map<constFunction*,Info>"
